Feature,Category,Cluster,Percentage
Age_4Band,16–24,Cluster 0,12.6
Age_4Band,25–44,Cluster 0,60.4
Age_4Band,45–64,Cluster 0,0.0
Age_4Band,65+,Cluster 0,25.2
Age_4Band,Missing,Cluster 0,1.8
Age_4Band,16–24,Cluster 1,0.0
Age_4Band,25–44,Cluster 1,0.0
Age_4Band,45–64,Cluster 1,100.0
Age_4Band,65+,Cluster 1,0.0
Age_4Band,Missing,Cluster 1,0.0
Age_4Band,16–24,Cluster 2,9.1
Age_4Band,25–44,Cluster 2,60.3
Age_4Band,45–64,Cluster 2,0.0
Age_4Band,65+,Cluster 2,29.6
Age_4Band,Missing,Cluster 2,0.9
Age_4Band,16–24,Cluster 3,10.1
Age_4Band,25–44,Cluster 3,3.5
Age_4Band,45–64,Cluster 3,65.9
Age_4Band,65+,Cluster 3,20.1
Age_4Band,Missing,Cluster 3,0.5
Gend3,Female,Cluster 0,98.8
Gend3,Male,Cluster 0,0.0
Gend3,Missing,Cluster 0,0.5
Gend3,Other,Cluster 0,0.7
Gend3,Female,Cluster 1,65.6
Gend3,Male,Cluster 1,34.1
Gend3,Missing,Cluster 1,0.1
Gend3,Other,Cluster 1,0.2
Gend3,Female,Cluster 2,0.0
Gend3,Male,Cluster 2,100.0
Gend3,Missing,Cluster 2,0.0
Gend3,Other,Cluster 2,0.0
Gend3,Female,Cluster 3,15.4
Gend3,Male,Cluster 3,84.1
Gend3,Missing,Cluster 3,0.2
Gend3,Other,Cluster 3,0.4
Eth7,Black,Cluster 0,6.8
Eth7,Chinese,Cluster 0,2.4
Eth7,Missing,Cluster 0,7.0
Eth7,Mixed,Cluster 0,3.7
Eth7,Other ethnic group,Cluster 0,2.9
Eth7,South Asian,Cluster 0,13.3
Eth7,White British,Cluster 0,46.3
Eth7,White Other,Cluster 0,17.6
Eth7,Black,Cluster 1,7.5
Eth7,Chinese,Cluster 1,1.5
Eth7,Missing,Cluster 1,6.1
Eth7,Mixed,Cluster 1,2.4
