figure,wave,type
2015-16_active_by_borough.png,2015-16,active_by_borough
2015-16_active_by_demographic.png,2015-16,active_by_demographic
2016-17_active_by_borough.png,2016-17,active_by_borough
2016-17_active_by_demographic.png,2016-17,active_by_demographic
2017-18_active_by_borough.png,2017-18,active_by_borough
2017-18_active_by_demographic.png,2017-18,active_by_demographic
2017-18_cramers_v.png,2017-18,cramers_v
2017-18_indoor_outdoor.png,2017-18,indoor_outdoor
2017-18_missingness.png,2017-18,missingness
2017-18_missingness_2.png,2017-18,missingness_2
2017-18_volunteering.png,2017-18,volunteering
2018-19_active_by_borough.png,2018-19,active_by_borough
2018-19_active_by_demographic.png,2018-19,active_by_demographic
2018-19_cramers_v.png,2018-19,cramers_v
2018-19_indoor_outdoor.png,2018-19,indoor_outdoor
2018-19_missingness.png,2018-19,missingness
2018-19_missingness_2.png,2018-19,missingness_2
2018-19_volunteering.png,2018-19,volunteering
2019-20_active_by_borough.png,2019-20,active_by_borough
2019-20_active_by_demographic.png,2019-20,active_by_demographic
2020-21_active_by_borough.png,2020-21,active_by_borough
2020-21_active_by_demographic.png,2020-21,active_by_demographic
2020-21_cramers_v.png,2020-21,cramers_v
2020-21_indoor_outdoor.png,2020-21,indoor_outdoor
2020-21_missingness.png,2020-21,missingness
2020-21_missingness_2.png,2020-21,missingness_2
2020-21_volunteering.png,2020-21,volunteering
2021-22_active_by_borough.png,2021-22,active_by_borough
2021-22_active_by_demographic.png,2021-22,active_by_demographic
2022-23_active_by_borough.png,2022-23,active_by_borough
2022-23_active_by_demographic.png,2022-23,active_by_demographic
2022-23_cramers_v.png,2022-23,cramers_v
2022-23_indoor_outdoor.png,2022-23,indoor_outdoor
2022-23_missingness.png,2022-23,missingness
2022-23_missingness_2.png,2022-23,missingness_2
2022-23_volunteering.png,2022-23,volunteering
