b,n,obs,pred
E09000002,175.0,13.185395418561743,16.612060774620645
E09000003,185.0,32.07205008574317,20.50514930240553
E09000004,177.0,18.830374956465224,20.08797326731934
E09000005,203.0,20.746629047222136,18.49567079617764
E09000006,191.0,24.279971136408086,21.02335218916215
E09000007,207.0,31.005965173613546,21.305344597037607
E09000008,189.0,25.169002812474623,20.121343596197647
E09000009,209.0,27.182633051201254,19.415462213124517
E09000010,181.0,19.643545131860243,18.96312327980474
E09000011,395.0,25.829692289213977,20.421623926116048
E09000012,195.0,27.943480215244062,22.504657119754548
E09000013,182.0,34.19834724068966,23.4567912898001
E09000014,209.0,20.026631881043386,21.571805965394013
E09000015,202.0,21.247650614681486,17.75669559900681
E09000016,180.0,20.566166464907408,18.946666705202883
E09000017,187.0,17.167793432165762,18.479927412439228
E09000018,186.0,14.661967616765045,16.620858722188323
E09000019,196.0,37.46820197357066,22.1948866812473
E09000020,178.0,31.08086669030093,20.65577592029892
E09000021,195.0,22.30545645223656,20.745844352397807
E09000022,203.0,34.66390475331351,22.715513634940738
E09000023,211.0,24.21194851765712,23.107559810069723
E09000024,198.0,25.118854388855652,21.90572629916662
E09000025,209.0,15.094312920971603,17.844270592360047
E09000026,208.0,17.33718893338261,19.11003544002535
E09000027,169.0,28.102475577171514,22.06307500555607
E09000028,204.0,27.52183850334684,21.81993539831643
E09000029,171.0,32.53368014938392,20.322695427913064
E09000030,202.0,28.044176583112193,22.023362256791287
E09000031,216.0,17.03991528993344,19.603507408868996
E09000032,191.0,34.469862188229044,25.163127122247232
E09000033,173.0,23.440046019035233,22.01840403588822
