b,n,obs,pred
E09000002,175.0,0.4350394479962241,5.626997699506209
E09000003,185.0,8.738076116514053,5.334644474243061
E09000004,177.0,2.5019819331908253,5.809272581748153
E09000005,203.0,3.0493174858842007,5.453507220077206
E09000006,191.0,7.651414977026656,5.366083085361877
E09000007,207.0,5.692170335459434,5.523980178137107
E09000008,189.0,0.9440731891827723,5.157883955686972
E09000009,209.0,9.823279397295392,5.481292988888073
E09000010,181.0,2.469624652069438,4.972322797525747
E09000011,395.0,3.5132734010565323,5.7033360657575765
E09000012,195.0,11.045626229043306,5.873512546024474
E09000013,182.0,7.618959242839901,6.292765416355926
E09000014,209.0,5.145143739624102,5.785216175938029
E09000015,202.0,6.33706329180653,5.11737924072388
E09000016,180.0,0.9308716653512177,4.675129794237084
E09000017,187.0,3.3889488586183454,4.803982155496726
E09000018,186.0,1.5171669207641196,5.077144543417067
E09000019,196.0,11.370589848650424,6.2674544720675645
E09000020,178.0,2.257110074788252,5.150080741118508
E09000021,195.0,7.628586503428846,5.239478690834084
E09000022,203.0,7.126488998137767,5.792820065000016
E09000023,211.0,3.9032369515127128,6.312263050156223
E09000024,198.0,6.543108180421912,5.780747534907447
E09000025,209.0,5.350626976877689,5.751859661115202
E09000026,208.0,6.230336442699841,5.784490130154659
E09000027,169.0,4.16257117924712,4.3101111853443275
E09000028,204.0,2.2637807240058017,6.491290102500584
E09000029,171.0,2.069029408996248,4.7030978744867316
E09000030,202.0,3.465857063421266,6.174157497813878
E09000031,216.0,3.955034751013843,5.069174834142177
E09000032,191.0,9.754076324279938,6.549509416473953
E09000033,173.0,9.296510760496476,6.282626279115927
