b,n,obs,pred
E09000002,175.0,26.408408416823995,30.22557573284692
E09000003,185.0,43.91602276860436,35.4763489993596
E09000004,177.0,27.719933526931918,34.44598279830574
E09000005,203.0,32.02426781086162,31.897334173908604
E09000006,191.0,38.519869017016696,35.9424160076604
E09000007,207.0,46.60855869034474,36.72319820506069
E09000008,189.0,40.20089100866282,35.07122427302157
E09000009,209.0,36.46299838147306,33.678785589496066
E09000010,181.0,30.830399594539568,33.89276636133455
E09000011,395.0,35.85107723246702,35.45481170762877
E09000012,195.0,39.19013661454951,38.87492465118647
E09000013,182.0,46.4908015678517,38.96155746084494
E09000014,209.0,39.64555344010358,37.98443887358334
E09000015,202.0,25.874562048764098,30.024795125751513
E09000016,180.0,32.93313479187986,32.678852100037254
E09000017,187.0,35.175823993067034,32.006995586029575
E09000018,186.0,24.110181521520946,28.443597981387295
E09000019,196.0,49.55573472941291,39.16024848969609
E09000020,178.0,43.38375830034538,35.617061378630844
E09000021,195.0,42.830036301817,35.964703552547356
E09000022,203.0,47.40927708579969,40.062369117662804
E09000023,211.0,37.97089827675443,39.73170159560997
E09000024,198.0,36.771615129895395,37.00082451979714
E09000025,209.0,22.921950970718523,30.754268122367076
E09000026,208.0,27.962854342553292,32.69270648953946
E09000027,169.0,45.77620143893313,38.28846676053061
E09000028,204.0,44.651477214475506,37.75791699534336
E09000029,171.0,40.09990659199925,35.52299315092535
E09000030,202.0,44.55741666503483,37.54160163152384
E09000031,216.0,28.80839439581403,34.15275980489573
E09000032,191.0,47.07154632670926,43.034196029547914
E09000033,173.0,38.48029328436328,37.75782350135536
