b,n,obs,pred
E09000002,175.0,51.04460263049215,61.343268966665875
E09000003,185.0,80.75447422932095,69.70911814167813
E09000004,177.0,64.88236432492121,69.64457435053306
E09000005,203.0,58.61428119282015,63.75371504947841
E09000006,191.0,72.22805516633103,72.89835730323504
E09000007,207.0,76.180260847521,69.32465336602297
E09000008,189.0,66.69113396043527,67.92669168369169
E09000009,209.0,60.18580669617008,66.99304669139966
E09000010,181.0,64.66301878719193,66.42119749528105
E09000011,395.0,64.66417728699705,68.04175607733997
E09000012,195.0,74.11157458645178,71.06799902667072
E09000013,182.0,79.22659312401642,72.77101908759228
E09000014,209.0,73.63254286522417,70.05361724000339
E09000015,202.0,63.00513118564799,63.741162191119614
E09000016,180.0,63.01997166116089,67.51276915401924
E09000017,187.0,55.28335436541849,65.20609230520151
E09000018,186.0,60.64875659734146,61.963764812872014
E09000019,196.0,72.73945386133965,72.55389539986497
E09000020,178.0,72.84069097286948,69.76117040700258
E09000021,195.0,74.91983526969352,70.2085880356048
E09000022,203.0,71.56439107926121,71.05712648779743
E09000023,211.0,70.7209853519125,71.82067085455543
E09000024,198.0,68.35850445198417,69.99619215064399
E09000025,209.0,58.13729441025126,61.9967839112587
E09000026,208.0,61.847021195501604,64.82718673758912
E09000027,169.0,78.98559399210875,74.04780795092199
E09000028,204.0,71.67418166817582,68.76185815521822
E09000029,171.0,76.10578451896298,69.90199218526824
E09000030,202.0,73.50144373696183,68.03492263920299
E09000031,216.0,60.16053479016796,66.30223091313447
E09000032,191.0,83.89559189676599,75.5009082750949
E09000033,173.0,72.3678803978274,69.72360796821802
