b,n,obs,pred
E09000002,501.0,48.814505490808386,55.854833756441245
E09000003,489.0,71.00749082170486,63.21951774328426
E09000004,493.0,61.188620982276724,62.95761959503242
E09000005,507.0,59.60253208553552,58.94567885057773
E09000006,498.0,63.87134458234054,64.73451224526679
E09000007,509.0,73.66176655865793,64.32938571118311
E09000008,522.0,62.72644749253258,61.45526100087902
E09000009,525.0,66.5181269547042,61.61084892734084
E09000010,500.0,57.05275439576779,60.786921929311404
E09000011,991.0,59.33646407334676,63.20027458010765
E09000012,496.0,66.31151857210153,64.30570535852353
E09000013,495.0,72.48780498553465,67.85239883662098
E09000014,532.0,66.50466278650366,64.79613261796342
E09000015,479.0,57.803979657897685,58.11034712658733
E09000016,480.0,60.13541434320295,61.01016356208119
E09000017,490.0,56.460796856321096,60.0120177433482
E09000018,488.0,55.70671722303746,58.29866567471653
E09000019,507.0,73.81552130386034,67.59667839839734
E09000020,490.0,67.4053520007504,62.74199549553412
E09000021,501.0,66.8441551054316,64.47207340830937
E09000022,518.0,69.60009368407587,66.76347323448283
E09000023,507.0,68.00715874530088,64.8921799647632
E09000024,507.0,64.42334769086884,64.934878043819
E09000025,482.0,55.55579839507908,58.60183057432007
E09000026,492.0,57.52114309843239,58.717036454153295
E09000027,522.0,73.81406265106175,67.93980875228202
E09000028,514.0,70.65645541608795,65.98076852317641
E09000029,461.0,69.29327699068762,63.65770670537856
E09000030,504.0,64.67198209783126,63.91700938743048
E09000031,525.0,56.572391507619464,61.45131243107021
E09000032,505.0,78.3197755159368,69.83877715861026
E09000033,485.0,67.74213630833304,63.89644449666033
