b,n,obs,pred
E09000002,501.0,7.895013603397298,7.020164134349435
E09000003,489.0,10.823578226094401,8.529129144329612
E09000004,493.0,6.3604078643792805,8.2857064831178
E09000005,507.0,8.098696227453127,7.8427886174425225
E09000006,498.0,6.838978356021238,8.442797800717896
E09000007,509.0,11.802934360229951,9.226489293377538
E09000008,522.0,9.705938793636431,8.357035415414087
E09000009,525.0,11.939628139248395,8.293840374992392
E09000010,500.0,8.44153659879712,7.993222625284266
E09000011,991.0,8.483842034199071,8.985443662549995
E09000012,496.0,10.332511749895692,9.363496153384004
E09000013,495.0,12.903481978738608,10.181617414952262
E09000014,532.0,9.22225873852023,9.229257685627493
E09000015,479.0,4.983206233244601,7.276509872457191
E09000016,480.0,9.397240745793345,7.64393200085873
E09000017,490.0,7.738519402326496,7.916519409044822
E09000018,488.0,7.294688103497762,7.298006058838573
E09000019,507.0,13.132213849829522,10.24675203547565
E09000020,490.0,10.69577066217938,8.176692588956858
E09000021,501.0,8.979846687861263,8.613398447071212
E09000022,518.0,14.531445149893731,10.545311659862561
E09000023,507.0,11.358241278319248,9.53928033806325
E09000024,507.0,10.673220755932181,9.450172244050869
E09000025,482.0,8.548726004042148,8.05415599605751
E09000026,492.0,6.651918861257344,7.72469029874915
E09000027,522.0,14.3240995531046,9.153243975100954
E09000028,514.0,13.568180763768467,10.284970977134565
E09000029,461.0,9.476569409863657,8.40148312108779
E09000030,504.0,13.828604223170446,9.793908938512589
E09000031,525.0,6.506131599480355,8.2317114114313
E09000032,505.0,13.598273473776981,11.018052071383234
E09000033,485.0,10.753171533162993,9.338238122515769
