b,n,obs,pred
E09000002,501.0,13.325203996205648,11.895017646253708
E09000003,489.0,15.765562862022467,14.005499747537893
E09000004,493.0,12.645982662752422,13.835636978121359
E09000005,507.0,14.533712531363573,13.151848913095236
E09000006,498.0,13.78312087028259,13.939904193374591
E09000007,509.0,20.146190785398385,14.87660082342262
E09000008,522.0,14.920023307893784,13.722278017815611
E09000009,525.0,16.136984117723905,13.987505380078932
E09000010,500.0,13.989543650308901,13.192899665695862
E09000011,991.0,14.803249933087752,14.579969281229381
E09000012,496.0,19.696617592869078,15.135332347097966
E09000013,495.0,18.939462109261715,16.52162204956796
E09000014,532.0,16.210093206557335,14.945453453008513
E09000015,479.0,11.246181326352849,12.521440195591646
E09000016,480.0,14.399934307663743,12.713594131336421
E09000017,490.0,15.172320587069951,13.170018125442324
E09000018,488.0,13.317579867559907,12.249953891500008
E09000019,507.0,21.3086754842624,16.1733476327961
E09000020,490.0,15.408643856485316,13.781127674569861
E09000021,501.0,14.514270436990262,14.335144319674091
E09000022,518.0,20.30107879627956,16.324304232526725
E09000023,507.0,15.463677101411015,15.254609255365075
E09000024,507.0,16.079075535723554,15.37740340000779
E09000025,482.0,13.339089147234462,13.33895050237079
E09000026,492.0,14.900164863982884,13.150475318572065
E09000027,522.0,23.05462929413411,14.920398155052121
E09000028,514.0,18.547462902338292,16.29102496865493
E09000029,461.0,17.66354403433032,13.644937858472161
E09000030,504.0,21.535543465556266,15.776829810382484
E09000031,525.0,11.672458408147063,13.437241222507861
E09000032,505.0,23.35227684886325,17.371329652904542
E09000033,485.0,16.945456743335964,15.202679105372772
