b,n,obs,pred
E09000002,501.0,4.435084392922194,3.3804089059798414
E09000003,489.0,2.8427262491335115,3.3503637289774075
E09000004,493.0,3.0751555773964214,3.976272130251123
E09000005,507.0,2.2491835177875474,3.519629283931125
E09000006,498.0,2.7107393310148122,3.6322621841016383
E09000007,509.0,5.23563844228765,3.858110174609643
E09000008,522.0,6.257910196979355,3.6469038561288887
E09000009,525.0,3.5170394138727343,3.7468542318017337
E09000010,500.0,4.308055018928106,3.353718409400516
E09000011,991.0,3.8125331211495843,3.9155955955732726
E09000012,496.0,6.486541581289114,4.1448404312099365
E09000013,495.0,3.316251784125984,4.495899356590986
E09000014,532.0,2.8777085748279463,3.948747901952083
E09000015,479.0,2.2658554713495302,3.1508188846923395
E09000016,480.0,4.359956553401232,3.095593676313777
E09000017,490.0,4.885100908922852,3.3988974776204555
E09000018,488.0,4.426911577912963,2.9300743977574064
E09000019,507.0,6.078439048710248,4.1799667180034294
E09000020,490.0,2.0990902729925414,3.345411174386969
E09000021,501.0,4.2756233507029116,3.6193398772708236
E09000022,518.0,5.5454652621561475,4.206005900261424
E09000023,507.0,4.49706249465866,4.141411508466544
E09000024,507.0,4.053718092345577,4.016231126667033
E09000025,482.0,3.2456818789034134,3.6834793147147358
E09000026,492.0,6.650930063342861,3.5839226432129614
E09000027,522.0,9.022636190184922,3.425950755044904
E09000028,514.0,5.89455948204856,4.360873619849396
E09000029,461.0,6.870971963629393,3.2455792010634466
E09000030,504.0,5.732079620659921,4.412332687987591
E09000031,525.0,3.350394536180218,3.2707195421361734
E09000032,505.0,9.983225004335916,4.930248393860558
E09000033,485.0,5.324736785518777,4.041187378482534
