b,n,obs,pred
E09000002,501.0,9.40335625058024,12.56370986995309
E09000003,489.0,14.784455117776714,17.931359090013835
E09000004,493.0,9.15281794107739,16.79304735249377
E09000005,507.0,12.191550930694895,15.284474188946458
E09000006,498.0,14.057130723639078,19.19998266179142
E09000007,509.0,23.793248156133256,19.36508641540159
E09000008,522.0,10.4016001004063,16.810102470331337
E09000009,525.0,20.710891496652128,17.262322965256157
E09000010,500.0,16.23408602441856,16.79759056798501
E09000011,991.0,15.484702504436864,18.391562831274925
E09000012,496.0,33.12798477073421,19.87304109628923
E09000013,495.0,33.46991370342297,22.273447863786835
E09000014,532.0,27.04837237612243,20.170069179026452
E09000015,479.0,7.765514122503743,14.223959036348354
E09000016,480.0,7.1388480635054465,15.748181467055602
E09000017,490.0,9.958128848259177,15.479500071618416
E09000018,488.0,16.42847849644969,14.927809300885949
E09000019,507.0,35.62078480710273,21.709284995815647
E09000020,490.0,30.785574106949415,19.074677783134167
E09000021,501.0,24.517124452130208,19.22656667827693
E09000022,518.0,31.025083280783168,21.502109805566754
E09000023,507.0,20.929721105712254,19.453462973189538
E09000024,507.0,17.283365053000885,19.884145540651026
E09000025,482.0,12.707734800048996,15.199888342776717
E09000026,492.0,13.469554861061694,15.321076602925933
E09000027,522.0,30.926378359392185,21.278678042201033
E09000028,514.0,28.000494623272914,20.505578378801474
E09000029,461.0,14.65692605835099,17.462906771134715
E09000030,504.0,27.50317313898418,19.510785369047017
E09000031,525.0,21.513642583662776,17.61321715827946
E09000032,505.0,32.0983244284776,23.19277367722338
E09000033,485.0,24.87061512739833,19.360085086172116
