b,n,obs,pred
E09000002,501.0,22.693432190447727,25.3956070451774
E09000003,489.0,44.153377271173994,31.52104163579706
E09000004,493.0,31.731633134909288,30.244691529856706
E09000005,507.0,30.24645335626707,28.42446463246267
E09000006,498.0,33.376758422349724,31.738326130869027
E09000007,509.0,43.058165283975114,32.77199468666037
E09000008,522.0,32.52703159247897,30.240706256088227
E09000009,525.0,35.24269465287583,29.60121453751284
E09000010,500.0,31.95227356720756,29.842546602380587
E09000011,991.0,28.637360041272665,31.411934512821823
E09000012,496.0,35.090436358468615,32.93661899877239
E09000013,495.0,43.60093367657105,35.029332055825236
E09000014,532.0,35.57289562060515,33.919453356843725
E09000015,479.0,31.197574501101553,27.690106487141946
E09000016,480.0,34.20709886643484,29.108847269270665
E09000017,490.0,30.980584466402824,29.043143559387826
E09000018,488.0,26.544805830326126,27.451978889833452
E09000019,507.0,45.131532988627264,35.34050728024057
E09000020,490.0,41.886079667668426,31.091017049660838
E09000021,501.0,35.659436874663015,32.20121367900312
E09000022,518.0,44.41725608784499,35.718508992221885
E09000023,507.0,35.59023579161853,33.11582796418759
E09000024,507.0,38.90955796383086,32.90707234968421
E09000025,482.0,27.52996184612397,27.847172250721478
E09000026,492.0,30.18884949532718,27.700511514326898
E09000027,522.0,45.76626187825387,34.780208817404
E09000028,514.0,39.396964423632625,34.16887947951525
E09000029,461.0,34.4991035909157,31.471974912895735
E09000030,504.0,36.38755392364251,32.44863573796749
E09000031,525.0,28.736219783025994,30.42606238396686
E09000032,505.0,44.39841883767938,37.23821711449453
E09000033,485.0,38.309674646890485,32.794953432882956
