b,n,obs,pred
E09000002,501.0,4.084031599274705,4.501018187983647
E09000003,489.0,5.186457181526731,5.761836399720083
E09000004,493.0,5.161784268567492,5.310947764944909
E09000005,507.0,6.313782874100093,5.650246266492389
E09000006,498.0,7.123132712803363,5.457845651331264
E09000007,509.0,7.400326519669961,5.954170467788405
E09000008,522.0,5.433651068576997,5.1989987069912695
E09000009,525.0,6.166223146392788,5.941094996399394
E09000010,500.0,6.0693607424534735,5.118373343522672
E09000011,991.0,4.221858526701577,5.441496548531317
E09000012,496.0,6.103764648158349,5.79549331644993
E09000013,495.0,8.348019124201867,6.729565188145348
E09000014,532.0,6.315269585883792,5.743780477804078
E09000015,479.0,6.47115938438973,5.86089210676383
E09000016,480.0,3.804881558672722,5.016854584124829
E09000017,490.0,5.6023784906787455,5.544932219597246
E09000018,488.0,5.786074106699095,5.24991239770857
E09000019,507.0,5.6246587275457935,6.147146326531056
E09000020,490.0,8.605365276704363,5.8954134969308365
E09000021,501.0,7.2144063049998035,5.982195987243247
E09000022,518.0,6.012920011559228,5.883853740660359
E09000023,507.0,4.741022413145033,5.625915135139286
E09000024,507.0,7.0512378103134665,6.207744130292222
E09000025,482.0,5.274003013499504,5.34596985243591
E09000026,492.0,5.909910042196353,5.80921140842005
E09000027,522.0,11.419703240450755,6.126459588707182
E09000028,514.0,4.4496860661642055,5.9202253200338975
E09000029,461.0,9.357916174214724,5.562979115645674
E09000030,504.0,7.386049037498507,6.226269579056677
E09000031,525.0,3.5192629688218604,5.2396028274103434
E09000032,505.0,7.276985067810715,6.697756340887745
E09000033,485.0,6.551982456507785,6.100012273235529
