b,n,obs,pred
E09000002,501.0,9.603512988463258,7.142156174677651
E09000003,489.0,8.246122536797413,5.704114147698062
E09000004,493.0,6.971043125357572,7.277148889220115
E09000005,507.0,6.636832506356501,6.783325836321482
E09000006,498.0,7.740890753857191,5.9793745692383204
E09000007,509.0,5.8963891830384245,6.412683225250706
E09000008,522.0,10.030754411231719,6.597532036807834
E09000009,525.0,9.842672855829735,7.1433409954009415
E09000010,500.0,6.772281759289817,5.874324178907678
E09000011,991.0,6.098798642042243,7.090314344179761
E09000012,496.0,11.215232712409659,7.332100192384166
E09000013,495.0,7.151592118740718,7.201418140155933
E09000014,532.0,7.395529826662677,6.7689257255319575
E09000015,479.0,7.413198124239242,6.108857396256204
E09000016,480.0,6.156705598762026,5.313777295225508
E09000017,490.0,5.637421537290024,5.888206058184491
E09000018,488.0,6.64278367740968,5.674272470270534
E09000019,507.0,13.187228518926744,6.8773718894830775
E09000020,490.0,5.291992342527616,5.970835674000564
E09000021,501.0,8.876274314109326,6.025679146925738
E09000022,518.0,6.8917299764188105,6.496062118198006
E09000023,507.0,9.788365596371843,6.8516608383790745
E09000024,507.0,6.92680372928884,6.393157093545152
E09000025,482.0,7.92269521568278,7.512813285952073
E09000026,492.0,11.709582239165304,7.113780058461998
E09000027,522.0,11.24388465026128,5.182846432282823
E09000028,514.0,6.992079254065128,7.299480634658501
E09000029,461.0,8.136070428159195,5.066414422130542
E09000030,504.0,6.294937761336443,7.814567220019032
E09000031,525.0,7.671370093072746,5.726447607905804
E09000032,505.0,12.50634551494893,8.2530199860682
E09000033,485.0,7.425518145603493,6.90767008304838
