b,n,obs,pred
E09000002,388.0,15.662539099916108,13.980105735721615
E09000003,370.0,17.939914131493055,14.49707011383825
E09000004,385.0,17.742710210235366,15.052235738794934
E09000005,393.0,15.86438367291101,14.256484136207845
E09000006,358.0,20.1701661128777,14.9330839458633
E09000007,404.0,17.534926409249135,14.460216721252614
E09000008,412.0,20.148966767030355,14.730780300035788
E09000009,424.0,22.67237338333228,15.036914049113198
E09000010,354.0,22.679868220090768,14.523574858599241
E09000011,773.0,17.238203838120867,14.376342629594683
E09000012,375.0,14.573854243368837,14.68065094157315
E09000013,372.0,17.049230330589005,14.9663208567222
E09000014,416.0,18.68747621818857,15.036046849316982
E09000015,376.0,21.92145952268585,13.688666547158368
E09000016,357.0,15.254274772520763,14.55193783221913
E09000017,384.0,18.281072305186353,14.28918688458355
E09000018,380.0,25.890010366232502,13.710061598201857
E09000019,407.0,17.36552014921749,14.824401166837458
E09000020,364.0,15.932408688349753,14.311196292206231
E09000021,385.0,18.757843775846226,14.811902180132169
E09000022,398.0,17.852218250398572,14.659134473845317
E09000023,405.0,15.226132979481342,14.732330339970943
E09000024,413.0,19.507509927600818,14.3183354991035
E09000025,404.0,15.640312525027115,13.571587225865416
E09000026,392.0,18.824058919625987,14.242658938623292
E09000027,387.0,21.79913181094279,14.759908782949992
E09000028,415.0,16.780335129931395,14.932411995487671
E09000029,339.0,17.531205673395437,14.371715757460915
E09000030,426.0,16.460195083370746,14.621553265288549
E09000031,417.0,15.969016567170971,13.849126191374618
E09000032,391.0,22.382260641646628,15.526323056907698
E09000033,364.0,11.812224042930971,14.270408763649806
