b,n,obs,pred
E09000002,501.0,65.11074092269875,70.19227352680271
E09000003,489.0,81.82876284416666,77.72193849779791
E09000004,493.0,74.0801463810634,77.71046806874207
E09000005,507.0,71.6597671915441,72.59320409638336
E09000006,498.0,78.20079732901985,79.76816531705269
E09000007,509.0,81.6805537276442,77.94634052770867
E09000008,522.0,71.48256980911877,75.60078541163892
E09000009,525.0,76.67865601045317,75.20882055230724
E09000010,500.0,69.30111181862658,75.4346664678246
E09000011,991.0,73.14068791394801,76.7084349349133
E09000012,496.0,72.6334246927679,76.9180881779672
E09000013,495.0,84.82956786513618,80.8434234639079
E09000014,532.0,80.13346607655636,78.10348500324217
E09000015,479.0,71.27512209514657,73.42616081395646
E09000016,480.0,73.08344458395388,76.91294035909104
E09000017,490.0,70.20147993682811,75.07957033866666
E09000018,488.0,70.06945810844088,73.0654034412097
E09000019,507.0,82.23040394908871,80.46077887180596
E09000020,490.0,80.09860922132701,77.11818644029222
E09000021,501.0,78.90442453311783,79.32393806902374
E09000022,518.0,80.23111382005708,79.4292688357038
E09000023,507.0,74.1674202116275,78.22022674965675
E09000024,507.0,75.54254558198436,78.8503562594211
E09000025,482.0,64.34939495683878,71.90774586619132
E09000026,492.0,68.58551140547486,72.92213022358546
E09000027,522.0,88.62861098251632,82.68202381832246
E09000028,514.0,83.36029757715467,78.24314773353237
E09000029,461.0,81.55890684251943,78.83780650217854
E09000030,504.0,77.9863441069709,76.37797446758483
E09000031,525.0,70.61402700577426,75.84107070092305
E09000032,505.0,81.61988389452347,81.93316798647007
E09000033,485.0,78.10245515202519,77.33230378188311
