borough,n,obs,pred,residual
E09000002,501.0,48.814505490808386,55.85122372381547,-7.036718233007086
E09000031,525.0,56.572391507619464,61.45102390818788,-4.878632400568414
E09000011,991.0,59.33646407334676,63.19980577788369,-3.8633417045369285
E09000010,500.0,57.05275439576779,60.786463008093854,-3.733708612326062
E09000017,490.0,56.460796856321096,60.01111839614979,-3.550321539828694
E09000025,482.0,55.55579839507908,58.59948148552506,-3.043683090445981
E09000018,488.0,55.70671722303746,58.29479677362815,-2.5880795505906917
E09000004,493.0,61.188620982276724,62.960229192491305,-1.7716082102145805
E09000026,492.0,57.52114309843239,58.715413616327226,-1.1942705178948358
E09000016,480.0,60.13541434320295,61.01120877034264,-0.875794427139688
E09000006,498.0,63.87134458234054,64.73723812528186,-0.8658935429413219
E09000024,507.0,64.42334769086884,64.93492248108537,-0.5115747902165282
E09000015,479.0,57.803979657897685,58.10876299902582,-0.304783341128136
E09000005,507.0,59.60253208553552,58.945716519934436,0.6568155656010859
E09000030,504.0,64.67198209783126,63.91679092460411,0.7551911732271535
E09000008,522.0,62.72644749253258,61.45409074605915,1.2723567464734273
E09000014,532.0,66.50466278650366,64.79811210335414,1.7065506831495156
E09000012,496.0,66.31151857210153,64.30666831122886,2.004850260872672
E09000021,501.0,66.8441551054316,64.47451055320141,2.3696445522301843
E09000022,518.0,69.60009368407587,66.76441782407198,2.8356758600038887
E09000023,507.0,68.00715874530088,64.89197568312997,3.115183062170914
E09000033,485.0,67.74213630833304,63.89932251149427,3.842813796838776
E09000013,495.0,72.48780498553465,67.85444263308044,4.633362352454213
E09000020,490.0,67.4053520007504,62.74365367228911,4.661698328461284
E09000028,514.0,70.65645541608795,65.98159925169199,4.674856164395962
E09000009,525.0,66.5181269547042,61.61076037935053,4.90736657535367
E09000029,461.0,69.29327699068762,63.65947265202914,5.633804338658479
E09000027,522.0,73.81406265106175,67.94360116223038,5.870461488831367
E09000019,507.0,73.81552130386034,67.59866436162339,6.216856942236944
E09000003,489.0,71.00749082170486,63.218847486346405,7.788643335358458
E09000032,505.0,78.3197755159368,69.8420928570701,8.477682658866698
E09000007,509.0,73.66176655865793,64.33121617744426,9.33055038121367
