target,label,waves,test_wave,n_train,n_test,prevalence_%,obs_spread_pp,composition_pp,place_pp,composition_share_%,corr_demog,corr_place
vol_any,Volunteering,6-8,8,24373,12828,18.3,2.91,0.44,2.3,15.0,0.109,0.188
active_park,Active in parks,2-8,8,34416,6377,5.3,3.12,0.57,1.67,18.0,0.433,0.31
club_team_all,Club: team sport,3-8,8,80114,16515,4.7,1.86,0.46,0.75,25.0,0.37,0.26
part_racket,Racket sport,1-8,8,118982,16515,6.1,1.66,0.47,1.27,28.0,0.572,0.558
part_cycling,Cycling,2-8,8,99362,16515,19.7,8.75,2.56,6.79,29.0,0.862,0.933
active_leisurecentre,Active at leisure centre,2-8,8,34416,6377,24.5,6.53,2.0,3.96,31.0,0.758,0.809
part_team,Team sport,1-8,8,118982,16515,8.2,2.08,0.79,0.97,38.0,0.276,0.444
club_fitness_all,Club: fitness,3-8,8,80114,16515,10.0,2.61,1.02,2.02,39.0,0.814,0.796
club_any_all,Club membership,3-8,8,80114,16515,16.3,3.22,1.35,2.52,42.0,0.799,0.769
active_indoor,Active indoors,2-8,8,34416,6377,37.1,7.65,3.34,6.13,44.0,0.837,0.818
part_fitness,Fitness activities,2-8,8,99362,16515,35.4,6.14,2.79,5.47,45.0,0.843,0.883
active_outdoor,Active outdoors,2-8,8,34416,6377,68.2,7.99,3.56,6.13,45.0,0.864,0.756
part_dance,Dance,1-8,8,118982,16515,8.9,1.99,0.91,1.63,46.0,0.595,0.604
is_active,Activity 150+ mins,1-8,8,118982,16515,64.3,6.85,3.29,5.86,48.0,0.9,0.853
part_walking,Walking,1-8,8,118982,16515,75.7,5.91,2.92,5.19,50.0,0.867,0.806
