target,label,brief,waves,n_total,coverage_%,n_holdout,n_per_borough,prevalence_%,obs_spread_pp,noise_spread_pp,excess_spread_pp,signal_noise,usable_waves,n_usable_waves,verdict
part_cycling,Participates: cycling,2b,2-8,115877,85.5,16515,501,19.7,8.75,1.76,8.57,4.86,2-8,7,STRONG  — ablation will be meaningful
is_active,Activity: 150+ mins/wk,1. Activity levels,1-8,135497,100.0,16515,501,64.3,6.85,2.12,6.51,3.06,1-8,8,STRONG  — ablation will be meaningful
part_walking,Participates: walking,2b. Activity types,1-8,135497,100.0,16515,501,75.7,5.91,1.9,5.59,2.94,1-8,8,STRONG  — ablation will be meaningful
part_fitness,Participates: fitness,2b,2-8,115877,85.5,16515,501,35.4,6.14,2.12,5.76,2.72,2-8,7,STRONG  — ablation will be meaningful
active_outdoor,Active outdoors,3,2-8,40793,30.1,6377,195,68.2,7.99,3.33,7.26,2.18,2-8,7,STRONG  — ablation will be meaningful
active_indoor,Active indoors,3. Indoor/outdoor,2-8,40793,30.1,6377,195,37.1,7.65,3.46,6.82,1.97,2-8,7,USABLE  — pool waves to tighten
active_leisurecentre,Active at leisure centre,3,2-8,40793,30.1,6377,195,24.5,6.53,3.08,5.76,1.87,2-8,7,USABLE  — pool waves to tighten
club_team_all,Club: team sports (rebased),1c,3-8,96629,71.3,16515,501,4.7,1.86,0.94,1.61,1.72,3-8,6,USABLE  — pool waves to tighten
club_any_all,Club membership (rebased),1c. Club membership,3-8,96629,71.3,16515,501,16.3,3.22,1.64,2.78,1.69,3-8,6,USABLE  — pool waves to tighten
club_fitness_all,Club: fitness (rebased),1c,3-8,96629,71.3,16515,501,10.0,2.61,1.33,2.24,1.69,3-8,6,USABLE  — pool waves to tighten
active_park,Active in parks,3,2-8,40793,30.1,6377,195,5.3,3.12,1.6,2.68,1.68,2-8,7,USABLE  — pool waves to tighten
part_team,Participates: team sport,2b,1-8,135497,100.0,16515,501,8.2,2.08,1.22,1.69,1.39,1-8,8,USABLE  — pool waves to tighten
part_dance,Participates: dance,2b,1-8,135497,100.0,16515,501,8.9,1.99,1.27,1.54,1.21,1-8,8,USABLE  — pool waves to tighten
part_racket,Participates: racket,2b,1-8,135497,100.0,16515,501,6.1,1.66,1.06,1.28,1.2,1-8,8,USABLE  — pool waves to tighten
vol_organise_all,Volunteer: organising (rebased),4,2-8,85288,62.9,12828,389,9.2,2.2,1.46,1.65,1.14,2-8,7,USABLE  — pool waves to tighten
vol_any,Volunteering in sport,4. Volunteering,2-8,85288,62.9,12828,389,18.3,2.91,1.95,2.17,1.11,2-8,7,USABLE  — pool waves to tighten
vol_coach_all,Volunteer: coaching (rebased),4,2-8,85288,62.9,12828,389,5.4,1.66,1.14,1.2,1.05,2-8,7,USABLE  — pool waves to tighten
