variable,in_waves,n_waves,first_wave,last_wave,label_y_latest,value_scheme_stable,schemes_seen
ACT7GR_ALL,2;3;4;5;6;7;8,7,2,8,Activity including inactive split: MEMS (grouped): All activity including gardening (PHE measure),NO,"[w2,3] 0=Inactive - nothing|1=Inactive - light only|2=Inactive - 1-29 mins|3=Fairly Active - 30-149 mins|4=Active - 150+ mins || [w4] -2=Active - 150+ mins|-1=Fairly Active - 30-149 mins|0=Inactive - nothing|1=Inactive - light only|2=Inactive - 1-29 mins || [w5,6] 0=Inactive - nothing|1=Inactive - light only|2=Inactive - 1-29 mins || [w7,8] -4=Active - 150+ mins|-3=Fairly Active - 30-149 mins|0=Inactive - nothing|1=Inactive - light only|2=Inactive - 1-29 mins"
ACT7GR_SPORTCOUNT_A01,1;2;3;4;5;6;7;8,8,1,8,"Activity: MEMS (grouped, with Inactivity split): Sport (count definition)",NO,"[w1,4] -2=Active - 150+ mins|-1=Fairly Active - 30-149 mins|0=Inactive - nothing|1=Inactive - light only|2=Inactive - 1-29 mins || [w2,7,8] 0=Inactive - nothing|1=Inactive - light only|2=Inactive - 1-29 mins|3=Fairly Active - 30-149 mins|4=Active - 150+ mins || [w3] -89=Fairly Active - 30-149 mins|-88=Active - 150+ mins|0=Inactive - nothing|1=Inactive - light only|2=Inactive - 1-29 mins || [w5,6] 0=Inactive - nothing|1=Inactive - light only|2=Inactive - 1-29 mins"
ACTYRA_ABSEILING_H03,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Abseiling,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_ACTPLAY_I10,6;7;8,3,6,8,Done 1-3 months ago: Active play such as throwing or catching a ball or play activities with children,YES,"[w6,7,8] 0=No|1=Yes"
ACTYRA_ACTTRAV_C03,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Active Travel,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_ADVENTURE_D01,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Adventure sports,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_ADVWATERSPORT_C07,1;2;3;4;5;6;7;8,8,1,8,"Done 1-3 months ago: Adventure, outdoor and water sports",YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_AIKIDO_S04,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Aikido,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_AIRGUN_S08,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Airgun (including pistol),YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_ANGLING_I01,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Angling,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_ARCHERY_J01,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Archery,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_ATHLETICS_D03,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Athletics,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_BADMINTON_G02,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Badminton,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_BASESOFTBALL_F13,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Baseball or Softball,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_BASKETBALL_F07,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Basketball,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_BOCCIA_L11,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Boccia,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_BODYWEIGHT_P25,2;3;4;5;6;7;8,7,2,8,Done 1-3 months ago: Body weight exercises,YES,"[w2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_BOOTCAMP_P22,1;2;3;4;5;6;7;8,8,1,8,"Done 1-3 months ago: Bootcamp (e.g. drill sergeant, military fitness)",YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_BOULES_L12,1;2;3;4;5;6;7;8,8,1,8,"Done 1-3 months ago: Boules, petanque, deck bowls",YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_BOWLSBOULES_C12,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Bowls or boules,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_BOWLSCARPET_U18,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Carpet bowls,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_BOWLSCROWNGREEN_U19,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Crown green bowls,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_BOWLSFLATGREEN_U20,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Flat green bowls,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_BOWLSSHORTMAT_U23,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Short mat bowls,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_BOWLS_L10,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Bowls,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_BOXCLASS_P03,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Boxing class,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_BOXINGTRAD_S01,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Boxing (traditional),YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_BOXING_J02,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Boxing,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_CANOEING_H09,1;2;3;4;5;6;7;8,8,1,8,"Done 1-3 months ago: Canoeing, kayaking, rafting or paddleboarding",YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
