borough,movement_pp
Waltham Forest,1.33
Croydon,0.93
Ealing,0.85
Bromley,0.62
Brent,0.53
Lewisham,0.5
Hillingdon,0.49
Newham,0.45
Islington,0.45
Richmond upon Thames,0.41
Kensington and Chelsea,0.41
Westminster,0.38
Enfield,0.37
Tower Hamlets,0.34
Hammersmith and Fulham,0.33
Sutton,0.3
Lambeth,0.28
Redbridge,0.28
Kingston upon Thames,0.27
Havering,0.27
Barnet,0.24
Haringey,0.24
Wandsworth,0.2
Hackney,0.18
Camden,0.14
Hounslow,0.11
Greenwich,0.11
Harrow,0.09
Barking and Dagenham,0.09
Bexley,0.07
Merton,0.04
Southwark,0.01
