activity,waves,today_%,2025_%,90%_low,90%_high,10yr_composition,10yr_trend,10yr_reverts
Club membership (any sport),3-8,16.3,16.6,15.8,17.8,15.6,20.1,16.5
Team-sport club,3-8,4.7,5.2,4.6,5.7,4.3,7.1,4.7
Fitness club / gym,3-8,10.0,8.8,8.1,9.4,9.5,9.4,9.5
Walking,1-8,75.7,75.0,74.3,75.6,74.6,71.4,71.5
Cycling,2-8,19.7,19.3,18.8,20.1,18.9,20.1,17.2
Fitness activities,2-8,35.4,31.4,31.0,32.9,34.5,31.8,29.5
Team sports,1-8,8.2,6.5,6.1,6.9,7.7,6.5,4.9
Racket sports,1-8,6.1,5.6,5.0,6.0,6.0,5.1,4.0
Dance,1-8,8.9,7.6,7.0,7.9,8.7,5.2,7.0
Active travel,1-8,60.2,56.2,55.5,57.1,58.6,49.1,45.1
